"Longitude","Latitude","MeanSharkSpatialDensity"
-86.875,29.625,2.16289245145163e-05
-85.875,29.375,2.62888152064988e-05
-84.625,29.375,2.76369592029369e-05
-86.875,29.125,2.14852116187103e-05
-84.125,29.125,2.75193560810294e-05
49.875,29.125,3.67445936717559e-05
50.125,29.125,4.06732615374494e-05
50.375,29.125,4.4294854887994e-05
-94.875,28.875,3.78189979528543e-05
-94.375,28.875,3.82665602955967e-05
-87.625,28.875,2.35165407502791e-05
-87.375,28.875,4.76434397569392e-05
-83.875,28.875,2.54018341365736e-05
49.625,28.875,3.6536996049108e-05
49.875,28.875,2.99400398944272e-05
-113.125,28.625,2.72871257038787e-05
-95.375,28.625,3.6536996049108e-05
-95.125,28.625,3.75991185137536e-05
-94.375,28.625,3.87248437618837e-05
-89.125,28.625,2.84892012132332e-05
-87.625,28.625,2.33467453654157e-05
-87.375,28.625,2.44039565586718e-05
-87.125,28.625,2.23001679842127e-05
-86.875,28.625,3.29951471940149e-05
-86.125,28.625,2.76369592029369e-05
-83.625,28.625,2.52596091740998e-05
49.375,28.625,3.63317340088543e-05
49.625,28.625,3.6536996049108e-05
49.875,28.625,0.000116258655907586
50.125,28.625,2.72871257038787e-05
-95.625,28.375,3.67445936717559e-05
-95.375,28.375,3.67445936717559e-05
-94.125,28.375,3.87248437618837e-05
-93.875,28.375,3.91942339774687e-05
-89.625,28.375,2.86152589978883e-05
-89.125,28.375,2.84892012132332e-05
-88.625,28.375,7.24604979041032e-05
-88.375,28.375,3.6536996049108e-05
-87.625,28.375,3.6536996049108e-05
-87.375,28.375,2.45895389525685e-05
-87.125,28.375,3.67445936717559e-05
-86.625,28.375,3.67445936717559e-05
-83.375,28.375,2.30144087254303e-05
49.375,28.375,3.6128763895249e-05
50.125,28.375,2.89405434159562e-05
50.375,28.375,0.000123638033983298
50.625,28.375,7.69190010032617e-05
-96.125,28.125,3.6128763895249e-05
-95.875,28.125,8.2339822256472e-05
-94.375,28.125,0.000125213453429751
-94.125,28.125,4.31136577390134e-05
-93.875,28.125,8.95189659786411e-05
-93.625,28.125,4.06732615374494e-05
-89.875,28.125,5.82664288231172e-05
-88.875,28.125,7.16575959813781e-05
-88.125,28.125,6.80741941323504e-05
-86.125,28.125,3.6536996049108e-05
-85.625,28.125,7.54181164666079e-05
-83.625,28.125,6.4223277149722e-05
-83.375,28.125,0.000131177672301419
49.375,28.125,3.59280493285041e-05
49.625,28.125,5.16333275299985e-05
50.375,28.125,5.53925347048789e-05
50.625,28.125,2.30144087254303e-05
50.875,28.125,2.17015058296965e-05
-96.375,27.875,6.34657553746365e-05
-96.125,27.875,9.03321051737294e-05
-95.875,27.875,5.55121659999713e-05
-93.625,27.875,9.04482294572517e-05
-93.375,27.875,4.06732615374494e-05
-93.125,27.875,6.03806620347314e-05
-92.375,27.875,9.65231156442314e-05
-91.875,27.875,9.23864063224755e-05
-89.625,27.875,3.55332340404857e-05
-87.875,27.875,6.53237220831215e-05
-85.625,27.875,3.82665602955967e-05
-83.375,27.875,8.45353933982551e-05
-83.125,27.875,3.34340038534719e-05
49.375,27.875,3.57295502908528e-05
49.625,27.875,0.000103066289739218
49.875,27.875,2.05303131224355e-05
50.375,27.875,5.52739184058737e-05
50.875,27.875,2.76369592029369e-05
51.125,27.875,4.5630797103513e-05
-96.625,27.625,5.21536167070735e-05
-96.375,27.625,0.000178516915184446
-95.625,27.625,5.57504172320478e-05
-95.125,27.625,5.62352070119232e-05
-92.875,27.625,3.99200544052292e-05
-92.625,27.625,0.000289569346932694
-92.375,27.625,0.000193046231288463
-92.125,27.625,9.23864063224755e-05
-91.875,27.625,8.8589709775988e-05
-88.875,27.625,0.000122019788250327
-87.875,27.625,6.53237220831215e-05
-87.375,27.625,3.29951471940149e-05
-85.625,27.625,3.87248437618837e-05
-83.375,27.625,4.20669057348277e-05
-83.125,27.625,3.07479895127472e-05
49.875,27.625,2.19967641896801e-05
50.125,27.625,2.04007847059984e-05
50.625,27.625,4.01654324377887e-05
50.875,27.625,3.0361730750883e-05
51.125,27.625,2.40575263887877e-05
-111.375,27.375,8.62273154780269e-05
-96.875,27.375,5.17363878316246e-05
-96.625,27.375,3.3508022170281e-05
-96.375,27.375,3.29951471940149e-05
-96.125,27.375,3.29951471940149e-05
-95.625,27.375,0.000152379579958506
-95.375,27.375,5.17363878316246e-05
-95.125,27.375,5.21536167070735e-05
-94.875,27.375,5.25776304129977e-05
-94.625,27.375,5.48685457033571e-05
-94.375,27.375,0.000108720603748225
-94.125,27.375,0.000219237728742883
-93.875,27.375,5.6728495110292e-05
-93.625,27.375,5.52739184058737e-05
-93.125,27.375,0.000100816512713209
-92.375,27.375,9.65231156442314e-05
-90.875,27.375,0.000171320061781444
-90.375,27.375,3.45831467711832e-05
-89.625,27.375,0.000122019788250327
-88.625,27.375,6.1590937548317e-05
-88.125,27.375,0.000126189319416881
-87.625,27.375,2.40410736296326e-05
-86.375,27.375,6.27868794254027e-05
-85.375,27.375,3.87248437618837e-05
